client_id,round_number,num_samples,set,loss,MAE,MSE,RMSE,pred
MAC000092,0,95,train,1.0876257419586182,0.92400062084198,1.0876257419586182,1.0428929328918457,
MAC000092,1,95,train,0.19155138731002808,0.344437837600708,0.19155138731002808,0.4376658499240875,
MAC000092,2,95,train,0.17655903100967407,0.3311007618904114,0.17655903100967407,0.4201892912387848,
MAC000092,3,95,train,0.16232037544250488,0.3170115649700165,0.16232037544250488,0.40289002656936646,
MAC000092,4,95,train,0.1551397144794464,0.3097987771034241,0.1551397144794464,0.3938778042793274,
MAC000092,5,95,train,0.15002602338790894,0.3050435781478882,0.15002602338790894,0.38733193278312683,
MAC000092,6,95,train,0.144093856215477,0.2997164726257324,0.144093856215477,0.3795969784259796,
MAC000092,7,95,train,0.13816531002521515,0.2930218279361725,0.13816531002521515,0.37170594930648804,
MAC000092,8,95,train,0.1318856179714203,0.28701284527778625,0.1318856179714203,0.3631605803966522,
MAC000092,9,95,train,0.12644951045513153,0.2802312672138214,0.12644951045513153,0.3555974066257477,
MAC000092,10,95,train,0.12248238176107407,0.27453041076660156,0.12248238176107407,0.3499748408794403,
MAC000092,11,95,train,0.11911897361278534,0.27093327045440674,0.11911897361278534,0.3451361656188965,
MAC000092,12,95,train,0.11658672243356705,0.2674863338470459,0.11658672243356705,0.34144797921180725,
MAC000092,13,95,train,0.11411071568727493,0.2642841041088104,0.11411071568727493,0.3378027677536011,
MAC000092,14,95,train,0.11141694337129593,0.260207861661911,0.11141694337129593,0.3337917625904083,
MAC000092,15,95,train,0.10777316987514496,0.2551669180393219,0.10777316987514496,0.3282882273197174,
MAC000092,16,95,train,0.10574356466531754,0.2512374222278595,0.10574356466531754,0.32518234848976135,
MAC000092,17,95,train,0.10218452662229538,0.24581006169319153,0.10218452662229538,0.3196631371974945,
MAC000092,18,95,train,0.10049667954444885,0.24222545325756073,0.10049667954444885,0.31701210141181946,
MAC000092,19,95,train,0.09886231273412704,0.23859241604804993,0.09886231273412704,0.3144237697124481,
MAC000092,20,95,train,0.09623483568429947,0.23412582278251648,0.09623483568429947,0.31021741032600403,
MAC000092,21,95,train,0.09421783685684204,0.22955290973186493,0.09421783685684204,0.3069492280483246,
MAC000092,22,95,train,0.09169134497642517,0.22461089491844177,0.09169134497642517,0.3028057813644409,
MAC000092,23,95,train,0.08949562162160873,0.2188168466091156,0.08949562162160873,0.2991581857204437,
MAC000092,24,95,train,0.08654682338237762,0.21276308596134186,0.08654682338237762,0.29418841004371643,
MAC000092,25,95,train,0.08225124329328537,0.20569700002670288,0.08225124329328537,0.2867947816848755,
MAC000092,26,95,train,0.07953067123889923,0.20076316595077515,0.07953067123889923,0.28201183676719666,
MAC000092,27,95,train,0.07608096301555634,0.19430120289325714,0.07608096301555634,0.2758277654647827,
MAC000092,28,95,train,0.07332558929920197,0.18893744051456451,0.07332558929920197,0.27078697085380554,
MAC000092,29,95,train,0.06847766786813736,0.17946115136146545,0.06847766786813736,0.261682391166687,
MAC000092,30,95,train,0.0637984424829483,0.16964605450630188,0.0637984424829483,0.2525835335254669,
MAC000092,31,95,train,0.0617949441075325,0.16207580268383026,0.0617949441075325,0.24858589470386505,
MAC000092,32,95,train,0.05767424404621124,0.15500670671463013,0.05767424404621124,0.24015462398529053,
MAC000092,33,95,train,0.057952865958213806,0.1574820578098297,0.057952865958213806,0.2407340109348297,
MAC000092,34,95,train,0.0547940768301487,0.14805208146572113,0.0547940768301487,0.23408134281635284,
MAC000092,35,95,train,0.049784693866968155,0.13462358713150024,0.049784693866968155,0.22312483191490173,
MAC000092,36,95,train,0.04589230939745903,0.12557339668273926,0.04589230939745903,0.2142249047756195,
MAC000092,37,95,train,0.041705213487148285,0.11454518139362335,0.041705213487148285,0.2042185366153717,
MAC000092,38,95,train,0.038037724792957306,0.09926556050777435,0.038037724792957306,0.19503262639045715,
MAC000092,39,95,train,0.03799760341644287,0.09883148223161697,0.03799760341644287,0.19492973387241364,
MAC000092,40,95,train,0.03763390704989433,0.09435753524303436,0.03763390704989433,0.19399461150169373,
MAC000092,41,95,train,0.042748019099235535,0.09895742684602737,0.042748019099235535,0.20675593614578247,
MAC000092,42,95,train,0.03859654814004898,0.1060565710067749,0.03859654814004898,0.1964600384235382,
MAC000092,43,95,train,0.04383321478962898,0.1272166520357132,0.04383321478962898,0.20936383306980133,
MAC000092,44,95,train,0.03632234409451485,0.09148842096328735,0.03632234409451485,0.1905842125415802,
MAC000092,45,95,train,0.03489562124013901,0.0856790691614151,0.03489562124013901,0.1868036985397339,
MAC000092,46,95,train,0.0350172333419323,0.08479870110750198,0.0350172333419323,0.1871289163827896,
MAC000092,47,95,train,0.03590923920273781,0.08606940507888794,0.03590923920273781,0.18949733674526215,
MAC000092,48,95,train,0.03610833361744881,0.08987025171518326,0.03610833361744881,0.19002193212509155,
MAC000092,49,95,train,0.03518876060843468,0.08875595033168793,0.03518876060843468,0.1875866800546646,
MAC000092,50,95,train,0.034153591841459274,0.08466419577598572,0.034153591841459274,0.18480689823627472,
MAC000092,51,95,train,0.03366173058748245,0.08223751187324524,0.03366173058748245,0.18347133696079254,
MAC000092,52,95,train,0.03337692841887474,0.07902063429355621,0.03337692841887474,0.18269354104995728,
MAC000092,53,95,train,0.03293589502573013,0.07786162942647934,0.03293589502573013,0.1814824938774109,
MAC000092,54,95,train,0.033684056252241135,0.07767754793167114,0.033684056252241135,0.18353216350078583,
MAC000092,55,95,train,0.03950219601392746,0.0823766216635704,0.03950219601392746,0.19875159859657288,
MAC000092,56,95,train,0.034159284085035324,0.08001963049173355,0.034159284085035324,0.18482230603694916,
MAC000092,57,95,train,0.033345527946949005,0.07964541018009186,0.033345527946949005,0.18260757625102997,
MAC000092,58,95,train,0.03280453383922577,0.08087597787380219,0.03280453383922577,0.18112021684646606,
MAC000092,59,95,train,0.03487619385123253,0.07883182168006897,0.03487619385123253,0.18675169348716736,
MAC000092,60,95,train,0.03274375945329666,0.08152895420789719,0.03274375945329666,0.18095237016677856,
MAC000092,61,95,train,0.033278778195381165,0.08072350174188614,0.033278778195381165,0.18242472410202026,
MAC000092,62,95,train,0.03413448482751846,0.07750920951366425,0.03413448482751846,0.18475520610809326,
MAC000092,63,95,train,0.03304209187626839,0.07899997383356094,0.03304209187626839,0.18177483975887299,
MAC000092,64,95,train,0.03613295406103134,0.07674094289541245,0.03613295406103134,0.1900867074728012,
MAC000092,65,95,train,0.033582232892513275,0.07822874933481216,0.033582232892513275,0.18325455486774445,
MAC000092,66,95,train,0.03292018175125122,0.07679493725299835,0.03292018175125122,0.18143919110298157,
