client_id,round_number,num_samples,set,loss,MAE,MSE,RMSE,pred
MAC000081,0,95,train,1.0821871757507324,0.8567580580711365,1.0821871757507324,1.0402822494506836,
MAC000081,1,95,train,0.28250885009765625,0.43561118841171265,0.28250885009765625,0.5315155982971191,
MAC000081,2,95,train,0.2718051075935364,0.4305326044559479,0.2718051075935364,0.521349310874939,
MAC000081,3,95,train,0.26427775621414185,0.4243636727333069,0.26427775621414185,0.5140795111656189,
MAC000081,4,95,train,0.25701332092285156,0.4178106486797333,0.25701332092285156,0.5069648027420044,
MAC000081,5,95,train,0.2497636377811432,0.41112127900123596,0.2497636377811432,0.4997635781764984,
MAC000081,6,95,train,0.24289733171463013,0.40445929765701294,0.24289733171463013,0.49284616112709045,
MAC000081,7,95,train,0.23659175634384155,0.3978186845779419,0.23659175634384155,0.48640698194503784,
MAC000081,8,95,train,0.23069226741790771,0.39139774441719055,0.23069226741790771,0.4803043603897095,
MAC000081,9,95,train,0.22554408013820648,0.3854537606239319,0.22554408013820648,0.4749148190021515,
MAC000081,10,95,train,0.22096045315265656,0.3805494010448456,0.22096045315265656,0.47006431221961975,
MAC000081,11,95,train,0.21698524057865143,0.3763943910598755,0.21698524057865143,0.4658167362213135,
MAC000081,12,95,train,0.21352623403072357,0.3729897141456604,0.21352623403072357,0.46208900213241577,
MAC000081,13,95,train,0.21045906841754913,0.3699854016304016,0.21045906841754913,0.4587581753730774,
MAC000081,14,95,train,0.2077830731868744,0.3672507405281067,0.2077830731868744,0.45583227276802063,
MAC000081,15,95,train,0.20537683367729187,0.3646794259548187,0.20537683367729187,0.45318520069122314,
MAC000081,16,95,train,0.20305734872817993,0.36225655674934387,0.20305734872817993,0.4506188631057739,
MAC000081,17,95,train,0.2008804976940155,0.3600178062915802,0.2008804976940155,0.4481969475746155,
MAC000081,18,95,train,0.19877180457115173,0.3577558696269989,0.19877180457115173,0.4458383023738861,
MAC000081,19,95,train,0.19674243032932281,0.355517715215683,0.19674243032932281,0.4435565769672394,
MAC000081,20,95,train,0.1946573406457901,0.3534557819366455,0.1946573406457901,0.4411998987197876,
MAC000081,21,95,train,0.19271531701087952,0.35135501623153687,0.19271531701087952,0.43899351358413696,
MAC000081,22,95,train,0.19070634245872498,0.3493187129497528,0.19070634245872498,0.43669936060905457,
MAC000081,23,95,train,0.18864993751049042,0.34712642431259155,0.18864993751049042,0.4343385100364685,
MAC000081,24,95,train,0.18671979010105133,0.3448961079120636,0.18671979010105133,0.43211084604263306,
MAC000081,25,95,train,0.1846321076154709,0.3426961898803711,0.1846321076154709,0.42968839406967163,
MAC000081,26,95,train,0.1827273666858673,0.34051281213760376,0.1827273666858673,0.4274662137031555,
MAC000081,27,95,train,0.18083402514457703,0.3383294343948364,0.18083402514457703,0.42524585127830505,
MAC000081,28,95,train,0.1790226250886917,0.3361395299434662,0.1790226250886917,0.4231106638908386,
MAC000081,29,95,train,0.17705534398555756,0.333933025598526,0.17705534398555756,0.42077943682670593,
MAC000081,30,95,train,0.17536798119544983,0.3316754996776581,0.17536798119544983,0.41876959800720215,
MAC000081,31,95,train,0.1735920011997223,0.32946810126304626,0.1735920011997223,0.41664373874664307,
MAC000081,32,95,train,0.1719813346862793,0.3275492191314697,0.1719813346862793,0.4147063195705414,
MAC000081,33,95,train,0.17039044201374054,0.3256502151489258,0.17039044201374054,0.41278377175331116,
MAC000081,34,95,train,0.1689731627702713,0.3238380551338196,0.1689731627702713,0.41106346249580383,
MAC000081,35,95,train,0.16758085787296295,0.3223205804824829,0.16758085787296295,0.4093663990497589,
MAC000081,36,95,train,0.16630978882312775,0.3208043575286865,0.16630978882312775,0.4078109860420227,
MAC000081,37,95,train,0.16513121128082275,0.31949639320373535,0.16513121128082275,0.4063633978366852,
MAC000081,38,95,train,0.16424168646335602,0.3181411027908325,0.16424168646335602,0.4052674174308777,
