client_id,round_number,num_samples,set,loss,MAE,MSE,RMSE,pred
MAC000100,0,95,train,1.0779157876968384,0.8300124406814575,1.0779157876968384,1.0382272005081177,
MAC000100,1,95,train,0.34120309352874756,0.4548223316669464,0.34120309352874756,0.5841259360313416,
MAC000100,2,95,train,0.3206316828727722,0.4451012909412384,0.3206316828727722,0.5662434697151184,
MAC000100,3,95,train,0.3019292950630188,0.43380260467529297,0.3019292950630188,0.5494809150695801,
MAC000100,4,95,train,0.2852810323238373,0.42270174622535706,0.2852810323238373,0.5341170430183411,
MAC000100,5,95,train,0.27529898285865784,0.4158284366130829,0.27529898285865784,0.5246894359588623,
MAC000100,6,95,train,0.2693300247192383,0.41167953610420227,0.2693300247192383,0.5189701318740845,
MAC000100,7,95,train,0.26400190591812134,0.4078849256038666,0.26400190591812134,0.5138111710548401,
MAC000100,8,95,train,0.25787654519081116,0.40342700481414795,0.25787654519081116,0.5078154802322388,
MAC000100,9,95,train,0.25098639726638794,0.39840376377105713,0.25098639726638794,0.5009854435920715,
MAC000100,10,95,train,0.2432175874710083,0.39212971925735474,0.2432175874710083,0.49317094683647156,
MAC000100,11,95,train,0.235430508852005,0.385998398065567,0.235430508852005,0.4852118194103241,
MAC000100,12,95,train,0.22903591394424438,0.38034939765930176,0.22903591394424438,0.4785769581794739,
MAC000100,13,95,train,0.22416304051876068,0.37610509991645813,0.22416304051876068,0.47345858812332153,
MAC000100,14,95,train,0.21985052525997162,0.3724471628665924,0.21985052525997162,0.4688822031021118,
MAC000100,15,95,train,0.21521760523319244,0.3679083585739136,0.21521760523319244,0.46391552686691284,
MAC000100,16,95,train,0.20964021980762482,0.3627442717552185,0.20964021980762482,0.4578648507595062,
MAC000100,17,95,train,0.20331545174121857,0.3556203246116638,0.20331545174121857,0.4509051442146301,
MAC000100,18,95,train,0.19677676260471344,0.34855374693870544,0.19677676260471344,0.4435952603816986,
MAC000100,19,95,train,0.1910247653722763,0.3420568108558655,0.1910247653722763,0.4370638132095337,
MAC000100,20,95,train,0.18616396188735962,0.3362562656402588,0.18616396188735962,0.431467205286026,
MAC000100,21,95,train,0.18141938745975494,0.32993876934051514,0.18141938745975494,0.4259335398674011,
MAC000100,22,95,train,0.17540821433067322,0.32263320684432983,0.17540821433067322,0.4188176393508911,
MAC000100,23,95,train,0.1694430559873581,0.31338897347450256,0.1694430559873581,0.411634624004364,
MAC000100,24,95,train,0.16281700134277344,0.30247220396995544,0.16281700134277344,0.4035058915615082,
MAC000100,25,95,train,0.1574079543352127,0.29321905970573425,0.1574079543352127,0.3967467248439789,
MAC000100,26,95,train,0.15287795662879944,0.2855411469936371,0.15287795662879944,0.3909960985183716,
MAC000100,27,95,train,0.1485832929611206,0.27864009141921997,0.1485832929611206,0.38546502590179443,
MAC000100,28,95,train,0.1438552886247635,0.2721044719219208,0.1438552886247635,0.3792825937271118,
MAC000100,29,95,train,0.13782043755054474,0.2628149688243866,0.13782043755054474,0.3712417483329773,
MAC000100,30,95,train,0.13090886175632477,0.25286364555358887,0.13090886175632477,0.3618133068084717,
MAC000100,31,95,train,0.1224411204457283,0.23842236399650574,0.1224411204457283,0.34991586208343506,
MAC000100,32,95,train,0.11705044656991959,0.2285674661397934,0.11705044656991959,0.34212636947631836,
MAC000100,33,95,train,0.11136055737733841,0.21954473853111267,0.11136055737733841,0.3337073028087616,
MAC000100,34,95,train,0.1094307154417038,0.21787090599536896,0.1094307154417038,0.33080312609672546,
MAC000100,35,95,train,0.1007080003619194,0.20499376952648163,0.1007080003619194,0.3173452317714691,
MAC000100,36,95,train,0.09442929923534393,0.19553570449352264,0.09442929923534393,0.30729350447654724,
MAC000100,37,95,train,0.08445002883672714,0.17844752967357635,0.08445002883672714,0.2906028628349304,
MAC000100,38,95,train,0.07826102524995804,0.16650423407554626,0.07826102524995804,0.279751718044281,
MAC000100,39,95,train,0.07162462919950485,0.15220165252685547,0.07162462919950485,0.2676277756690979,
MAC000100,40,95,train,0.06669873744249344,0.13948993384838104,0.06669873744249344,0.2582609951496124,
MAC000100,41,95,train,0.06448247283697128,0.1306665688753128,0.06448247283697128,0.25393399596214294,
MAC000100,42,95,train,0.06382999569177628,0.13464368879795074,0.06382999569177628,0.25264599919319153,
MAC000100,43,95,train,0.06157613545656204,0.12381388247013092,0.06157613545656204,0.24814538657665253,
MAC000100,44,95,train,0.05989371985197067,0.11775531619787216,0.05989371985197067,0.24473193287849426,
MAC000100,45,95,train,0.05951841548085213,0.11674322187900543,0.05951841548085213,0.24396395683288574,
MAC000100,46,95,train,0.05925478786230087,0.11562705785036087,0.05925478786230087,0.24342305958271027,
MAC000100,47,95,train,0.06043864041566849,0.12266676872968674,0.06043864041566849,0.24584271013736725,
MAC000100,48,95,train,0.058817096054553986,0.11477277427911758,0.058817096054553986,0.24252235889434814,
MAC000100,49,95,train,0.05955936759710312,0.1142352893948555,0.05955936759710312,0.2440478801727295,
MAC000100,50,95,train,0.05782423913478851,0.11096840351819992,0.05782423913478851,0.24046671390533447,
MAC000100,51,95,train,0.06059347093105316,0.11477478593587875,0.06059347093105316,0.24615740776062012,
MAC000100,52,95,train,0.05887691676616669,0.1133410632610321,0.05887691676616669,0.24264566600322723,
MAC000100,53,95,train,0.057824909687042236,0.11102704703807831,0.057824909687042236,0.2404680997133255,
MAC000100,54,95,train,0.058195602148771286,0.11369723081588745,0.058195602148771286,0.24123764038085938,
MAC000100,55,95,train,0.058077532798051834,0.11439277976751328,0.058077532798051834,0.24099279940128326,
