client_id,round_number,num_samples,set,loss,MAE,MSE,RMSE,pred
MAC004809,0,95,train,1.083608865737915,0.8245278596878052,1.083608865737915,1.0409653186798096,
MAC004809,1,95,train,0.3574536442756653,0.4542485177516937,0.3574536442756653,0.5978742837905884,
MAC004809,2,95,train,0.33188673853874207,0.4325498640537262,0.33188673853874207,0.5760961174964905,
MAC004809,3,95,train,0.30762946605682373,0.4107116460800171,0.30762946605682373,0.5546435713768005,
MAC004809,4,95,train,0.29126855731010437,0.3983933627605438,0.29126855731010437,0.5396929979324341,
MAC004809,5,95,train,0.2823120355606079,0.392185777425766,0.2823120355606079,0.5313304662704468,
MAC004809,6,95,train,0.27474844455718994,0.38708555698394775,0.27474844455718994,0.5241644978523254,
MAC004809,7,95,train,0.2667078673839569,0.3815920650959015,0.2667078673839569,0.5164376497268677,
MAC004809,8,95,train,0.2573922276496887,0.37487372756004333,0.2573922276496887,0.5073384046554565,
MAC004809,9,95,train,0.24662962555885315,0.3668473958969116,0.24662962555885315,0.4966181814670563,
MAC004809,10,95,train,0.23525470495224,0.3574780225753784,0.23525470495224,0.4850306212902069,
MAC004809,11,95,train,0.2250254601240158,0.348979115486145,0.2250254601240158,0.47436848282814026,
MAC004809,12,95,train,0.2173607349395752,0.3420163691043854,0.2173607349395752,0.46621963381767273,
MAC004809,13,95,train,0.21182745695114136,0.33703210949897766,0.21182745695114136,0.4602471590042114,
MAC004809,14,95,train,0.20712606608867645,0.3323988914489746,0.20712606608867645,0.4551110565662384,
MAC004809,15,95,train,0.20240239799022675,0.32770848274230957,0.20240239799022675,0.4498915374279022,
MAC004809,16,95,train,0.1969495266675949,0.32211241126060486,0.1969495266675949,0.4437899589538574,
MAC004809,17,95,train,0.19106824696063995,0.31557613611221313,0.19106824696063995,0.43711355328559875,
MAC004809,18,95,train,0.18488185107707977,0.308366060256958,0.18488185107707977,0.4299789071083069,
MAC004809,19,95,train,0.17901067435741425,0.30281248688697815,0.17901067435741425,0.42309653759002686,
MAC004809,20,95,train,0.17331276834011078,0.29634740948677063,0.17331276834011078,0.4163084924221039,
MAC004809,21,95,train,0.1681121289730072,0.29139140248298645,0.1681121289730072,0.4100147783756256,
MAC004809,22,95,train,0.16346393525600433,0.28602010011672974,0.16346393525600433,0.4043067395687103,
MAC004809,23,95,train,0.158813014626503,0.2808505892753601,0.158813014626503,0.3985134959220886,
MAC004809,24,95,train,0.15348908305168152,0.2752993702888489,0.15348908305168152,0.39177682995796204,
MAC004809,25,95,train,0.1476629376411438,0.26829391717910767,0.1476629376411438,0.3842693567276001,
MAC004809,26,95,train,0.1409260332584381,0.2591632306575775,0.1409260332584381,0.37540116906166077,
MAC004809,27,95,train,0.13408975303173065,0.2508789300918579,0.13408975303173065,0.36618268489837646,
MAC004809,28,95,train,0.1279437243938446,0.24416854977607727,0.1279437243938446,0.3576922118663788,
MAC004809,29,95,train,0.12120423465967178,0.23516997694969177,0.12120423465967178,0.348143994808197,
MAC004809,30,95,train,0.11540032923221588,0.22830292582511902,0.11540032923221588,0.3397062420845032,
MAC004809,31,95,train,0.11038123816251755,0.2219724953174591,0.11038123816251755,0.33223670721054077,
MAC004809,32,95,train,0.10365385562181473,0.21187245845794678,0.10365385562181473,0.3219531774520874,
MAC004809,33,95,train,0.09998739510774612,0.20765440165996552,0.09998739510774612,0.3162078261375427,
MAC004809,34,95,train,0.09072280675172806,0.19080322980880737,0.09072280675172806,0.30120226740837097,
MAC004809,35,95,train,0.08594315499067307,0.18245622515678406,0.08594315499067307,0.293160617351532,
MAC004809,36,95,train,0.09099259972572327,0.19604146480560303,0.09099259972572327,0.301649808883667,
MAC004809,37,95,train,0.08136752247810364,0.17412030696868896,0.08136752247810364,0.2852499186992645,
MAC004809,38,95,train,0.07959277182817459,0.16928745806217194,0.07959277182817459,0.2821218967437744,
MAC004809,39,95,train,0.07679560780525208,0.16283349692821503,0.07679560780525208,0.2771202027797699,
MAC004809,40,95,train,0.07414447516202927,0.1582038402557373,0.07414447516202927,0.272294819355011,
MAC004809,41,95,train,0.06800712645053864,0.1452869474887848,0.06800712645053864,0.26078176498413086,
MAC004809,42,95,train,0.06524837762117386,0.13649722933769226,0.06524837762117386,0.25543761253356934,
MAC004809,43,95,train,0.06075222045183182,0.11696460843086243,0.06075222045183182,0.24647966027259827,
MAC004809,44,95,train,0.06466720998287201,0.13575561344623566,0.06466720998287201,0.25429749488830566,
MAC004809,45,95,train,0.059315212070941925,0.1109895184636116,0.059315212070941925,0.24354714155197144,
MAC004809,46,95,train,0.0587439201772213,0.10885076224803925,0.0587439201772213,0.24237145483493805,
MAC004809,47,95,train,0.058719176799058914,0.11060298979282379,0.058719176799058914,0.24232040345668793,
MAC004809,48,95,train,0.05949343368411064,0.10582906007766724,0.05949343368411064,0.24391275644302368,
MAC004809,49,95,train,0.057650987058877945,0.1054205447435379,0.057650987058877945,0.24010619521141052,
MAC004809,50,95,train,0.057379916310310364,0.10399461537599564,0.057379916310310364,0.23954105377197266,
MAC004809,51,95,train,0.058457206934690475,0.10778623074293137,0.058457206934690475,0.24177925288677216,
MAC004809,52,95,train,0.05682869255542755,0.10224263370037079,0.05682869255542755,0.23838768899440765,
MAC004809,53,95,train,0.057220716029405594,0.10106400400400162,0.057220716029405594,0.23920851945877075,
MAC004809,54,95,train,0.05683039501309395,0.10027778893709183,0.05683039501309395,0.23839126527309418,
MAC004809,55,95,train,0.057733453810214996,0.10044128447771072,0.057733453810214996,0.24027787148952484,
